intent,query,answer
기계공학과,부전공,"기계공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 유체역학, 고체역학, 열역학, 동역학, 기계제작법입니다. 부전공 이수시 공학인증은 필수가 아닙니다."
기계공학과,1학년 전공,"기계공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 기초설계(전필·3)
[2학기] 공업역학(전필·3)"
기계공학과,2학년 전공,"기계공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 고체역학(전필·3), 열역학(전필·3), 수치해석(전선·3), 기계제도및CAD(전선·3)
[2학기] 유체역학열역학(전필·3), 동역학열역학(전필·3), 기계요소설계(전선·3), 기계공학계측및실험1(전선·3)"
기계공학과,3학년 전공,"기계공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 기계제작법(전필·3), 유체기계(전선·3), 기계진동학(전선·3), 응용기계설계(전선·3), 재료거동학(전선·3), 기계공학계측및실험2(전선·3), 메카트로닉스(전선·3)
[2학기] 열전달(전선·3), 자동제어(전선·3), 열유체응용설계(전선·3), 기계가공학(전선·3), 열공정해석(전선·3), 응용열역학(전선·3), 전자공학개론(전선·3), 컴퓨터응용설계(전선·3), 인공지능응용기계공학(전선·3), 금속적층제조공정학(전선·3)"
기계공학과,4학년 전공,"기계공학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 기초유한요소법(전선·3), 마이크로나노기계공학(전선·3), 로보틱스(전선·3), 연소공학개론(전선·3), 종합설계A(전선·3), 복합재료역학(전선·3), 시스템해석(전선·3), 산학연협동세미나(전선·2), 기계공학인턴쉽1(전선·3)
[2학기] 졸업연구및진로2(전선·1), 내연기관(전선·3), 트라이볼로지(전선·3), 최적설계(전선·3), 전산열유체역학(전선·3), 종합설계B(전선·3), 공기조화및냉동(전선·3), 에너지공학(전선·3), 자동차구조설계(전선·3), 신제품개발방법론(전선·3), 기계공학인턴쉽2(전선·3), 환경과에너지(전선·3), 생체역학(전선·3)"
기계공학과,전공,"기계공학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 기초설계(전필·3)
[1학년 2학기] 공업역학(전필·3)
[2학년 1학기] 고체역학(전필·3), 열역학(전필·3), 수치해석(전선·3), 기계제도및CAD(전선·3)
[2학년 2학기] 유체역학열역학(전필·3), 동역학열역학(전필·3), 기계요소설계(전선·3), 기계공학계측및실험1(전선·3)
[3학년 1학기] 기계제작법(전필·3), 유체기계(전선·3), 기계진동학(전선·3), 응용기계설계(전선·3), 재료거동학(전선·3), 기계공학계측및실험2(전선·3), 메카트로닉스(전선·3)
[3학년 2학기] 열전달(전선·3), 자동제어(전선·3), 열유체응용설계(전선·3), 기계가공학(전선·3), 열공정해석(전선·3), 응용열역학(전선·3), 전자공학개론(전선·3), 컴퓨터응용설계(전선·3), 인공지능응용기계공학(전선·3), 금속적층제조공정학(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 기초유한요소법(전선·3), 마이크로나노기계공학(전선·3), 로보틱스(전선·3), 연소공학개론(전선·3), 종합설계A(전선·3), 복합재료역학(전선·3), 시스템해석(전선·3), 산학연협동세미나(전선·2), 기계공학인턴쉽1(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 내연기관(전선·3), 트라이볼로지(전선·3), 최적설계(전선·3), 전산열유체역학(전선·3), 종합설계B(전선·3), 공기조화및냉동(전선·3), 에너지공학(전선·3), 자동차구조설계(전선·3), 신제품개발방법론(전선·3), 기계공학인턴쉽2(전선·3), 환경과에너지(전선·3), 생체역학(전선·3)"
기계공학과,공학인증,"기계공학과 공학인증 홈페이지입니다.
기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1301.html"
기계공학과,07학번 공학인증,"07학번 기계공학과 공학인증 홈페이지입니다.
07학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_1.html"
기계공학과,08학번 공학인증,"08학번 기계공학과 공학인증 홈페이지입니다.
08학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_2.html"
기계공학과,09학번 공학인증,"09학번 기계공학과 공학인증 홈페이지입니다.
09학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_3.html"
기계공학과,10학번 공학인증,"10학번 기계공학과 공학인증 홈페이지입니다.
10학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_4.html"
기계공학과,11학번 공학인증,"11학번 기계공학과 공학인증 홈페이지입니다.
11학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_5.html"
기계공학과,12학번 공학인증,"12학번 기계공학과 공학인증 홈페이지입니다.
12학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_6.html"
기계공학과,13학번 공학인증,"13학번 기계공학과 공학인증 홈페이지입니다.
13학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_7.html"
기계공학과,14학번 공학인증,"14학번 기계공학과 공학인증 홈페이지입니다.
14학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_8.html"
기계공학과,15학번 공학인증,"15학번 기계공학과 공학인증 홈페이지입니다.
15학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_9.html"
기계공학과,16학번 공학인증,"16학번 기계공학과 공학인증 홈페이지입니다.
16학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_10.html"
기계공학과,17학번 공학인증,"17학번 기계공학과 공학인증 홈페이지입니다.
17학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_11.html"
기계공학과,18학번 공학인증,"18학번 기계공학과 공학인증 홈페이지입니다.
18학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_12.html"
기계공학과,19학번 공학인증,"19학번 기계공학과 공학인증 홈페이지입니다.
19학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_13.html"
기계공학과,20학번 공학인증,"20학번 기계공학과 공학인증 홈페이지입니다.
20학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_14.html"
기계공학과,21학번 공학인증,"21학번 기계공학과 공학인증 홈페이지입니다.
21학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_15.html"
기계공학과,22학번 공학인증,"22학번 기계공학과 공학인증 홈페이지입니다.
22학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_16.html"
기계공학과,23학번 공학인증,"23학번 기계공학과 공학인증 홈페이지입니다.
23학번 기계공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1302_17.html"
항공우주공학전공,조교실 정보 좀,"항공우주공학전공 조교실 정보는 아래와 같습니다.
위치 : 충무관 1009호 / 전화 : 02-3408-3333"
항공우주공학전공,과사무실,"항공우주공학전공 과사무실 정보는 아래와 같습니다.
위치 : 충무관 1009호 / 전화 : 02-3408-3333"
항공우주공학전공,과사무실 위치,항공우주공학전공 과사무실 위치는 충무관 1009호입니다.
항공우주공학전공,과사무실 전화번호,항공우주공학전공 과사무실 전화번호는 02-3408-3333입니다.
항공우주공학전공,홈페이지,"항공우주공학전공 홈페이지입니다.
항공우주공학전공 : http://home.sejong.ac.kr/~aerodpt/"
항공우주공학전공,공지사항,"항공우주공학전공에서 제공하는 학과 공지사항입니다.
항공우주공학전공 학과 공지사항 : http://home.sejong.ac.kr/~aerodpt/15.html"
항공우주공학전공,학과소개,"항공우주전공은 항공기나 위성체 또는 발사체와 같은 대형항공우주시스템의 개발을 목적으로, 공학분야 전반을 포괄하는 공학일반 영역과 연구개발 대상인 항공우주 시스템의 특성을 탐구하는 항공우주공학 고유의 영역을 교육하고 연구합니다."
항공우주공학전공,주전공,"전공필수과목은 21학점, 전공선택과목은 42점 이상 이수해야 하며, 전공학점은 63점 이상이어야 합니다."
항공우주공학전공,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
항공우주공학전공,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
항공우주공학전공,부전공,"항공우주공학전공 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 고체역학, 공기역학, 열역학, 동역학, 비행동역학입니다. 부전공 이수시 공학인증은 필수가 아닙니다."
항공우주공학전공,1학년 전공,"항공우주공학전공 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 우주항공입문(전필·3)
[2학기] 기초설계(전필·3)"
항공우주공학전공,2학년 전공,"항공우주공학전공 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 고체역학(전필·3), 열역학(전필·3), 항공우주제도및CAD(전선·3)
[2학기] 동역학(전필·3), 공기역학(전필·3), 선형대수학(전선·3),  항공우주응용SW1(전선·3)"
항공우주공학전공,3학년 전공,"항공우주공학전공 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 비행동역학(전필·3), 진동학(전선·3), 항공기구조역학(전선·3), 압축성유체역학(전선·3), 우주궤도역학(전선·3), 메카트로닉스종합설계(전선·3), 항공우주응용SW2(전선·3), 항공우주AI기초(전선·3)
[2학기] 수치해석(전선·3), 자동제어(전선·3), 추진체공학(전선·3), 전산구조해석및실습(전선·3), 자율비행체시스템설계1(전선·3), 항공기설계(전선·3), 항공우주전자응용설계(전선·3), 인공위성시스템공학(전선·3)"
항공우주공학전공,4학년 전공,"항공우주공학전공 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 응용공기역학및설계(전선·3), 항공우주공학연구1(전선·3), 항법전자시스템설계(전선·3), 로켓공학및설계(전선·3), 자율비행체시스템설계2(전선·3), 종합설계1(전선·3), 열전달(전선·3), 초소형위성설계및실습(전선·3)
[2학기] 졸업연구및진로2(전선·1), 유도제어시스템설계(전선·3), 헬리콥터공학및설계(전선·3), 항공우주공학세미나(전선·3), 항공우주공학연구2(전선·3), 종합설계2(전선·3), 자율항법시스템설계(전선·3), 연소공학(전선·3), 전산응용해석(전선·3), 항공우주AI응용(전선·3)"
항공우주공학전공,전공,"항공우주공학전공 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 우주항공입문(전필·3)
[1학년 2학기] 기초설계(전필·[)
[2학년 1학기] 고체역학(전필·3), 열역학(전필·3), 항공우주제도및CAD(전선·3)
[2학년 2학기] 동역학(전필·3), 공기역학(전필·3), 선형대수학(전선·3),  항공우주응용SW1(전선·3)
[3학년 1학기] 비행동역학(전필·3), 진동학(전선·3), 항공기구조역학(전선·3), 압축성유체역학(전선·3), 우주궤도역학(전선·3), 메카트로닉스종합설계(전선·3), 항공우주응용SW2(전선·3), 항공우주AI기초(전선·3)
[3학년 2학기] 수치해석(전선·3), 자동제어(전선·3), 추진체공학(전선·3), 전산구조해석및실습(전선·3), 자율비행체시스템설계1(전선·3), 항공기설계(전선·3), 항공우주전자응용설계(전선·3), 인공위성시스템공학(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 응용공기역학및설계(전선·3), 항공우주공학연구1(전선·3), 항법전자시스템설계(전선·3), 로켓공학및설계(전선·3), 자율비행체시스템설계2(전선·3), 종합설계1(전선·3), 열전달(전선·3), 초소형위성설계및실습(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 유도제어시스템설계(전선·3), 헬리콥터공학및설계(전선·3), 항공우주공학세미나(전선·3), 항공우주공학연구2(전선·3), 종합설계2(전선·3), 자율항법시스템설계(전선·3), 연소공학(전선·3), 전산응용해석(전선·3), 항공우주AI응용(전선·3)"
항공우주공학전공,공학인증,"항공우주공학전공 공학인증 홈페이지입니다.
항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1401.html"
항공우주공학전공,16학번 공학인증,"16학번 항공우주공학전공 공학인증 홈페이지입니다.
16학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_10.html"
항공우주공학전공,17학번 공학인증,"17학번 항공우주공학전공 공학인증 홈페이지입니다.
17학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_11.html"
항공우주공학전공,18학번 공학인증,"18학번 항공우주공학전공 공학인증 홈페이지입니다.
18학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_12.html"
항공우주공학전공,19학번 공학인증,"19학번 항공우주공학전공 공학인증 홈페이지입니다.
19학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_13.html"
항공우주공학전공,20학번 공학인증,"20학번 항공우주공학전공 공학인증 홈페이지입니다.
20학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_14.html"
항공우주공학전공,21학번 공학인증,"21학번 항공우주공학전공 공학인증 홈페이지입니다.
21학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_15.html"
항공우주공학전공,22학번 공학인증,"22학번 항공우주공학전공 공학인증 홈페이지입니다.
2학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_16.html"
항공우주공학전공,23학번 공학인증,"23학번 항공우주공학전공 공학인증 홈페이지입니다.
23학번 항공우주공학전공 공학인증 : http://abeek.sejong.ac.kr/abeek/program1402_17.html"
항공시스템공학전공,조교실 정보 좀,"항공시스템공학전공 조교실 정보는 아래와 같습니다.
위치 : 광개토관 1013B호 / 전화 : 02-3408-3448"
항공시스템공학전공,과사무실,"항공시스템공학전공 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 1013B호 / 전화 : 02-3408-3448"
항공시스템공학전공,과사무실 위치,항공시스템공학전공 과사무실 위치는 광개토관 1013B호입니다.
항공시스템공학전공,과사무실 전화번호,항공시스템공학전공 과사무실 전화번호는 02-3408-3448입니다.
항공시스템공학전공,홈페이지,"항공시스템공학전공 홈페이지입니다.
항공시스템공학전공 : http://home.sejong.ac.kr/~aerosysdpt/"
항공시스템공학전공,공지사항,"항공시스템공학전공에서 제공하는 학과 공지사항입니다.
항공시스템공학전공 학과 공지사항 : http://home.sejong.ac.kr/~aerosysdpt/21.html"
항공시스템공학전공,자료실,"항공시스템공학전공에서 제공하는 자료실입니다.
항공시스템공학전공 자료실 : http://home.sejong.ac.kr/~aerosysdpt/23.html"
항공시스템공학전공,학과소개,"항공시스템공학전공은 항공기, 유도무기, 로켓 등 항공우주시스템 개발을 연구하는 항공우주공학도와 우리나라 국토방위를 목적으로 공군조종사를 꿈꾸는 후보생을 양성하기 위해 설립된 특성 학과입니다."
항공시스템공학전공,주전공,"전공필수과목은 38학점, 전공선택과목은 26점 이상 이수해야 하며, 전공학점은 64점 이상이어야 합니다."
항공시스템공학전공,복수전공,타전공생이 항공시스템공학전공을 복수전공을 할 수 없습니다.
항공시스템공학전공,복전,타전공생이 항공시스템공학전공을 복수전공을 할 수 없습니다.
항공시스템공학전공,부전공,타전공생이 항공시스템공학전공을 부전공을 할 수 없습니다.
항공시스템공학전공,1학년 전공,"항공시스템공학전공 1학년 전공수업은 아래와 같습니다.
[1학기] 우주항공입문(전필·3)
[2학기] 항공우주무기체계(전필·2), 항공전사(전필·2)"
항공시스템공학전공,2학년 전공,"항공시스템공학전공 2학년 전공수업은 아래와 같습니다.
[1학기] 군사학개론(전필·3), 비행기초역학1(전필·3), 관숙비행(전필·1), 고체역학(전필·3), 열역학(전선·3)
[2학기] 비행기초역학2(전필·3), 일반비행이론(전필·1), 공군리더십(전필·2), 항공전략론(전필·2), 항공법(전선·2), 미래항공우주산업(전선·3), 동역학(전선·3), 공기역학(전선·3), 항공우주응용SW1(전선·3)"
항공시스템공학전공,3학년 전공,"항공시스템공학전공 3학년 전공수업은 아래와 같습니다.
[1학기] 비행역학(전필·3), 모의비행이론및실습(전필·3), 항공안전관리론(전필·3), 우주기술운용체계1(전선·3), 비행기초역학3(전선·3), 압축성유체역학(전선·3), 항공기구조역학(전선·3)
[2학기] 모의비행실습1(전필·2), 비행시스템분석및설계1(전필·3), 비행기초역학4(전선·3), 사이버전개론(전선·3), 수치해석(전선·3), 자동제어(전선·3), 추진체공학(전선·3), 우주기술운용체계2(전선·3)"
항공시스템공학전공,4학년 전공,"항공시스템공학전공 4학년 전공수업은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 모의비행실습2(전선·2), 비행시스템분석및설계2(전선·3), 비행기초역학5(전선·3), 열전달(전선·3), 초소형위성설계및실습(전선·3), 항법전자시스템설계(전선·3), 무인항공기설계1(전선·3)
[2학기] 졸업연구및진로2(전선·1), 비행일반및체험비행(전선·3), 방위사업체계(전선·2), 모의비행실습3(전선·2), 무인항공기설계2(전선·3), 유도제어시스템설계(전선·3), 항공우주AI응용(전선·3)"
항공시스템공학전공,전공,"항공시스템공학전공 전학년 전공수업은 아래와 같습니다.
[1학년 1학기] 우주항공입문(전필·3)
[1학년 2학기] 항공우주무기체계(전필·2), 항공전사(전필·2)
[2학년 1학기] 군사학개론(전필·3), 비행기초역학1(전필·3), 관숙비행(전필·1), 고체역학(전필·3), 열역학(전선·3)
[2학년 2학기] 비행기초역학2(전필·3), 일반비행이론(전필·1), 공군리더십(전필·2), 항공전략론(전필·2), 항공법(전선·2), 미래항공우주산업(전선·3), 동역학(전선·3), 공기역학(전선·3), 항공우주응용SW1(전선·3)
[3학년 1학기] 비행역학(전필·3), 모의비행이론및실습(전필·3), 항공안전관리론(전필·3), 우주기술운용체계1(전선·3), 비행기초역학3(전선·3), 압축성유체역학(전선·3), 항공기구조역학(전선·3)
[3학년 2학기] 모의비행실습1(전필·2), 비행시스템분석및설계1(전필·3), 비행기초역학4(전선·3), 사이버전개론(전선·3), 수치해석(전선·3), 자동제어(전선·3), 추진체공학(전선·3), 우주기술운용체계2(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 모의비행실습2(전선·2), 비행시스템분석및설계2(전선·3), 비행기초역학5(전선·3), 열전달(전선·3), 초소형위성설계및실습(전선·3), 항법전자시스템설계(전선·3), 무인항공기설계1(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 비행일반및체험비행(전선·3), 방위사업체계(전선·2), 모의비행실습3(전선·2), 무인항공기설계2(전선·3), 유도제어시스템설계(전선·3), 항공우주AI응용(전선·3)"
항공시스템공학전공,공학인증,"항공시스템공학전공 공학인증 홈페이지입니다. 항공시스템공학전공 공학인증 관련 정보는 하단의 페이지에 첨부자료로 존재합니다.
항공시스템공학전공 공학인증 : http://home.sejong.ac.kr/~aerosysdpt/23.html"
나노신소재공학과,조교실 정보 좀,"나노신소재공학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 816호 / 전화 : 02-3408-3664, 02-3408-3668"
나노신소재공학과,과사무실,"나노신소재공학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 816호 / 전화 : 02-3408-3664, 02-3408-3668"
나노신소재공학과,과사무실 위치,나노신소재공학과 과사무실 위치는 충무관 816호입니다.
나노신소재공학과,과사무실 전화번호,"나노신소재공학과 과사무실 전화번호는 02-3408-3664, 02-3408-3668입니다."
나노신소재공학과,홈페이지,"나노신소재공학과 홈페이지입니다.
나노신소재공학과 : http://www.sjname.ac.kr/"
나노신소재공학과,공지사항,"나노신소재공학과에서 제공하는 학과 공지사항입니다.
나노신소재공학과 학과 공지사항 : http://www.sjname.ac.kr/news/notice.php?boardid=notice&category=%ED%95%99%EB%B6%80"
나노신소재공학과,세미나,"나노신소재공학과에서 제공하는 세미나 정보입니다.
나노신소재공학과 세미나 : http://www.sjname.ac.kr/news/seminar.php"
나노신소재공학과,나신소식,"나노신소재공학과에서 제공하는 소식입니다.
나신소식 : http://www.sjname.ac.kr/news/nasinNews.php"
나노신소재공학과,학과소개,"나노신소재공학과는 이와 같은 첨단 나노신소재에 관한 전문가를 양성하기 위해 다양한 신소재의 기본적인 물성 및 분석, 공정 및 합성, 응용 소자, 융합 기술 등을 체계적으로 교육합니다. 또한, 현대산업의 변화와 요구사항을 반영하기 위해 다양한 산·학·연 협력 교과과정을 마련하고 있으며, 첨단 신소재 전문가를 양성하기 위해 대학원 교과과정을 운영하여 활발하게 연구를 수행하고 있습니다."
나노신소재공학과,주전공,"전공필수과목은 24학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 69점 이상이어야 합니다."
나노신소재공학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
나노신소재공학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
나노신소재공학과,부전공,"나노신소재공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 신소재과학1, 신소재과학2, 재료열역학1, 재료열역학2, 유기화학, 고체물리, 확산및상변태, 재료의기계적성질입니다. 부전공 이수시 공학인증은 필수가 아닙니다."
나노신소재공학과,1학년 전공,"나노신소재공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 나노신소재공학개론(전선·3)"
나노신소재공학과,2학년 전공,"나노신소재공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 결정구조및X선회절(전필·3), 재료열역학1(전필·3), 현대물리(전선·3), 신소재과학1(전선·3), 전기전자공학(전선·3), 공학기초설계실험(전선·3)
[2학기] 유기화학(전필·3), 전자기학(전선·3), 재료열역학2(전선·3), 재료의전자기적물성(전선·3), 신소재과학2(전선·3)"
나노신소재공학과,3학년 전공,"나노신소재공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 고체물리(전필·3), 확산및상변태(전필·3), 금속과세라믹기초설계및실험(전필·3), 고분자화학(전선·3), 바이오재료공학(전선·3), 에너지재료(전선·3), 반도체재료(전선·3), 기초물리화학(전선·3)
[2학기] 반도체와고분자화학기초설계및실험(전필·3), 반도체제조공학(전선·3), 고분자물리(전선·3), 산화물재료(전선·3), 신금속재료(전선·3), 화학기기분석(전선·3), 전기화학(전선·3), 고체화학(전선·3)"
나노신소재공학과,4학년 전공,"나노신소재공학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 나노신소재창의연구1(종합설계)(전선·3), 재료분석학(전선·3), 초미립소재학(전선·3), 자성체재료(전선·3), 박막공학(전선·3), 반도체나노소자(전선·3), 고분자합성(전선·3), 산학협동강좌1(전선·3), 나노신소재인턴십1(전선·3)
[2학기] 졸업연구및진로2(전선·1), 나노신소재창의연구2(종합설계)(전선·3), 금속공정학(전선·3), 진공공학(전선·3), 전자세라믹스재료(전선·3), 세라믹스공정학(전선·3), 나노재료응용(전선·3), 산학협동강좌2(전선·3), 나노신소재인턴십2(전선·3), 광전자소자와디스플레이(전선·3), 유기전자소자(전선·3)"
나노신소재공학과,전공,"나노신소재공학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 나노신소재공학개론(전선·3)
[1학년 2학기] - 
[2학년 1학기] 결정구조및X선회절(전필·3), 재료열역학1(전필·3), 현대물리(전선·3), 신소재과학1(전선·3), 전기전자공학(전선·3), 공학기초설계실험(전선·3)
[2학년 2학기] 유기화학(전필·3), 전자기학(전선·3), 재료열역학2(전선·3), 재료의전자기적물성(전선·3), 신소재과학2(전선·3)
[3학년 1학기] 고체물리(전필·3), 확산및상변태(전필·3), 금속과세라믹기초설계및실험(전필·3), 고분자화학(전선·3), 바이오재료공학(전선·3), 에너지재료(전선·3), 반도체재료(전선·3), 기초물리화학(전선·3)
[3학년 2학기] 반도체와고분자화학기초설계및실험(전필·3), 반도체제조공학(전선·3), 고분자물리(전선·3), 산화물재료(전선·3), 신금속재료(전선·3), 화학기기분석(전선·3), 전기화학(전선·3), 고체화학(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 나노신소재창의연구1(종합설계)(전선·3), 재료분석학(전선·3), 초미립소재학(전선·3), 자성체재료(전선·3), 박막공학(전선·3), 반도체나노소자(전선·3), 고분자합성(전선·3), 산학협동강좌1(전선·3), 나노신소재인턴십1(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 나노신소재창의연구2(종합설계)(전선·3), 금속공정학(전선·3), 진공공학(전선·3), 전자세라믹스재료(전선·3), 세라믹스공정학(전선·3), 나노재료응용(전선·3), 산학협동강좌2(전선·3), 나노신소재인턴십2(전선·3), 광전자소자와디스플레이(전선·3), 유기전자소자(전선·3)"
나노신소재공학과,공학인증,"나노신소재공학과 공학인증 홈페이지입니다.
나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1501.html"
나노신소재공학과,13학번 공학인증,"13학번 나노신소재공학과 공학인증 홈페이지입니다.
13학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_13.html"
나노신소재공학과,14학번 공학인증,"14학번 나노신소재공학과 공학인증 홈페이지입니다.
14학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_14.html"
나노신소재공학과,15학번 공학인증,"15학번 나노신소재공학과 공학인증 홈페이지입니다.
15학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_15.html"
나노신소재공학과,16학번 공학인증,"16학번 나노신소재공학과 공학인증 홈페이지입니다.
16학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_16.html"
나노신소재공학과,17학번 공학인증,"17학번 나노신소재공학과 공학인증 홈페이지입니다.
17학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_17.html"
나노신소재공학과,18학번 공학인증,"18학번 나노신소재공학과 공학인증 홈페이지입니다.
18학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_18.html"
나노신소재공학과,19학번 공학인증,"19학번 나노신소재공학과 공학인증 홈페이지입니다.
19학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_19.html"
나노신소재공학과,20학번 공학인증,"20학번 나노신소재공학과 공학인증 홈페이지입니다.
20학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_20.html"
나노신소재공학과,21학번 공학인증,"21학번 나노신소재공학과 공학인증 홈페이지입니다.
21학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_21.html"
나노신소재공학과,22학번 공학인증,"22학번 나노신소재공학과 공학인증 홈페이지입니다.
22학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_22.html"
나노신소재공학과,23학번 공학인증,"23학번 나노신소재공학과 공학인증 홈페이지입니다.
23학번 나노신소재공학과 공학인증 : http://abeek.sejong.ac.kr/abeek/program1502_23.html"
양자원자력공학과,조교실 정보 좀,"양자워자력공학과 조교실 정보는 아래와 같습니다.
위치 : 율곡관 307호 / 전화 : 02-3408 - 3491"
양자원자력공학과,과사무실,"양자워자력공학과 과사무실 정보는 아래와 같습니다.
위치 : 율곡관 307호 / 전화 : 02-3408 - 3491"
양자원자력공학과,과사무실 위치,양자원자력공학과 과사무실 위치는 율곡관 307호입니다.
양자원자력공학과,과사무실 전화번호,양자원자력공학과 과사무실 전화번호는 02-3408 - 3491입니다.
양자원자력공학과,홈페이지,"양자원자력공학과 홈페이지입니다.
양자원자력공학과 : http://home.sejong.ac.kr/~nuedpt/"
